No,date,open,high,low,close,volume
459,02/03/2021,207.72,207.99,204.61,204.98,134259
460,03/03/2021,203.49,204.73,199.21,199.45,196939
461,04/03/2021,198.83,203.77,196.56,198.72,276154
462,05/03/2021,201.21,204.46,198.49,202.99,249122
463,08/03/2021,202.83,204.54,199.07,199.3,205973
464,09/03/2021,204.11,206.31,203.05,204.9,196286
465,10/03/2021,207.73,207.73,203.38,203.71,181327
466,11/03/2021,205.53,209.63,205.37,207.84,174974
467,12/03/2021,205.16,206.69,204.42,206.63,137784
468,15/03/2021,205.94,206.14,203.18,205.81,156477
469,16/03/2021,207.11,210.41,206.8,208.35,174806
470,17/03/2021,207.02,209.08,204.42,207.76,162470
471,18/03/2021,203.65,205.26,201.88,202.22,216054
472,19/03/2021,202.47,203.76,201.01,201.9,205055
473,22/03/2021,201.91,207.64,201.71,206.84,158924
474,23/03/2021,208.09,211.27,207.79,208.23,197435
475,24/03/2021,208.43,208.6,206.25,206.38,154511
476,25/03/2021,206.23,207.67,202.97,203.64,210046
477,26/03/2021,202.97,207.47,202.95,207.27,145021
478,29/03/2021,207.69,207.69,203.24,206.18,135775
479,30/03/2021,204.6,204.96,202.55,203.21,154731
480,31/03/2021,204.14,209.57,203.68,206.65,261633
481,01/04/2021,209.06,212.67,208.65,212.41,203902
482,05/04/2021,212.8,219.08,212.72,218.3,255839
483,06/04/2021,217.02,218.59,216.38,217.24,144065
484,07/04/2021,217.26,219.93,216.66,219.03,148390
485,08/04/2021,221.62,222.75,220.87,221.97,148743
486,09/04/2021,221.59,224.37,221.26,224.25,151805
487,12/04/2021,223.25,225.84,223.17,224.3,154677
488,13/04/2021,225.47,227.17,225.11,226.56,140605
489,14/04/2021,225.45,226.86,223.64,224.02,134551
490,15/04/2021,225.95,227.82,225.89,227.45,139858
491,16/04/2021,227.38,228.76,225.78,228.53,148990
492,19/04/2021,228.05,229.18,225.97,226.78,124579
493,20/04/2021,226.11,228.06,225.11,226.36,117041
494,21/04/2021,226.95,228.48,225.47,228.39,137217
495,22/04/2021,228.07,229.44,224.06,225.4,158939
496,23/04/2021,226.03,229.21,225.49,228.89,126611
497,26/04/2021,229.33,230.02,228.03,229.24,119421
498,27/04/2021,229.21,230.68,227.99,229.61,158655
499,28/04/2021,224.45,224.85,221.71,223.12,323985
500,29/04/2021,223.94,224.47,218.24,221.32,279376
501,30/04/2021,218.89,221.82,218.77,221.03,184907
502,03/05/2021,222.09,222.93,220.1,220.75,116673
