,date,open,high,low,close,volume
339,2020-09-08,99.67,103.78,98.28,98.40,1777781.0
340,2020-09-09,102.32,103.91,100.53,102.32,1339297.0
341,2020-09-10,105.05,105.10,98.12,98.99,1449819.0
342,2020-09-11,99.96,100.50,95.94,97.68,1465577.0
343,2020-09-14,100.06,101.11,98.38,100.61,1078342.0
344,2020-09-15,103.26,103.64,99.09,100.77,1494358.0
345,2020-09-16,100.45,101.17,97.72,97.80,1191098.0
346,2020-09-17,95.70,97.86,94.81,96.24,1387581.0
347,2020-09-18,96.27,96.71,92.53,93.18,1821314.0
348,2020-09-21,91.16,96.11,89.92,96.01,1587937.0
349,2020-09-22,98.28,98.43,95.21,97.52,1519398.0
350,2020-09-23,97.36,97.78,93.12,93.43,1171183.0
351,2020-09-24,91.75,96.16,91.58,94.39,1381624.0
352,2020-09-25,94.64,98.07,93.91,97.93,1231927.0
353,2020-09-28,100.22,100.58,98.36,100.26,1118265.0
354,2020-09-29,99.87,100.57,99.06,99.51,834379.0
355,2020-09-30,99.11,102.27,99.10,101.01,1117890.0
356,2020-10-01,102.66,102.67,101.02,101.86,919626.0
357,2020-10-02,98.42,100.62,97.88,98.57,1155518.0
358,2020-10-05,99.36,101.74,99.04,101.61,842286.0
359,2020-10-06,100.90,101.28,97.90,98.70,1320675.0
360,2020-10-07,100.00,100.78,99.54,100.37,783055.0
361,2020-10-08,101.39,101.52,99.94,100.27,689080.0
362,2020-10-09,100.50,102.04,100.23,102.02,811404.0
363,2020-10-12,104.71,109.18,104.03,108.50,1955987.0
364,2020-10-13,109.29,109.36,104.36,105.62,2196919.0
365,2020-10-14,105.52,107.30,104.33,105.70,1284940.0
366,2020-10-15,103.60,105.71,103.05,105.28,926456.0
367,2020-10-16,105.75,106.01,103.63,103.81,917422.0
368,2020-10-19,104.63,105.03,100.88,101.15,1001106.0
369,2020-10-20,101.36,103.77,100.85,102.49,1037159.0
370,2020-10-21,101.69,103.54,101.57,101.93,735832.0
371,2020-10-22,102.42,102.95,100.15,100.96,853129.0
372,2020-10-23,101.49,101.65,99.67,100.33,679614.0
373,2020-10-26,99.45,101.65,98.45,100.34,903440.0
374,2020-10-27,100.74,102.29,99.89,101.70,760050.0
375,2020-10-28,100.33,100.68,96.90,96.99,1069633.0
376,2020-10-29,98.00,101.98,97.86,100.58,1022078.0
377,2020-10-30,96.85,97.67,93.95,94.94,1487179.0
378,2020-11-02,95.19,96.53,93.60,94.87,1002101.0
379,2020-11-03,95.64,97.24,94.83,96.32,891848.0
380,2020-11-04,99.51,100.82,97.99,100.26,1101039.0
381,2020-11-05,102.85,104.33,101.92,103.81,1005815.0
382,2020-11-06,103.36,104.14,101.46,103.70,837424.0
383,2020-11-09,105.28,106.58,101.39,101.63,1160016.0
384,2020-11-10,100.96,102.74,99.71,101.32,1079265.0
385,2020-11-11,102.39,104.52,101.73,104.40,831013.0
386,2020-11-12,104.59,105.30,103.59,104.15,872069.0
387,2020-11-13,104.36,104.56,102.98,104.20,645062.0
388,2020-11-16,103.86,105.71,103.22,105.10,694385.0
389,2020-11-17,104.43,105.44,103.93,104.31,575941.0
390,2020-11-18,103.63,104.69,103.10,103.12,572897.0
391,2020-11-19,102.81,104.02,102.06,103.65,579058.0
392,2020-11-20,103.65,103.77,102.47,102.52,558826.0
393,2020-11-23,102.39,102.77,99.38,99.47,1014171.0
394,2020-11-24,99.52,101.22,98.37,100.62,910876.0
395,2020-11-25,100.94,102.00,100.62,101.37,610314.0
396,2020-11-27,101.85,102.65,101.54,101.86,381739.0
397,2020-11-30,102.17,105.69,102.06,104.01,1141610.0
398,2020-12-01,105.74,107.87,104.85,107.22,999805.0
399,2020-12-02,106.61,107.78,105.62,107.54,671595.0
400,2020-12-03,107.92,108.14,106.77,107.41,602816.0
401,2020-12-04,107.07,107.35,106.17,106.81,568473.0
402,2020-12-07,106.92,108.84,106.78,108.12,648764.0
403,2020-12-08,108.66,109.19,107.54,108.67,622109.0
404,2020-12-09,108.78,110.04,105.72,106.40,864846.0
405,2020-12-10,105.26,108.22,104.97,107.67,621504.0
406,2020-12-11,107.02,107.25,105.32,106.95,646562.0
407,2020-12-14,107.10,107.77,106.19,106.40,526441.0
408,2020-12-15,108.71,111.75,108.45,111.73,1207939.0
409,2020-12-16,111.29,112.15,110.57,111.67,728583.0
410,2020-12-17,112.63,113.21,111.86,112.44,650842.0
411,2020-12-18,112.64,112.79,110.19,110.66,951375.0
412,2020-12-21,109.24,112.10,107.85,112.03,873991.0
413,2020-12-22,114.97,117.43,113.27,115.22,1390184.0
414,2020-12-23,115.45,115.70,114.26,114.42,655247.0
415,2020-12-24,114.74,116.60,114.54,115.30,458572.0
416,2020-12-28,117.07,119.99,116.65,119.42,1010453.0
417,2020-12-29,120.63,121.26,117.37,117.83,1003502.0
418,2020-12-30,118.42,118.81,116.55,116.83,769924.0
419,2020-12-31,117.11,117.72,115.08,115.93,748429.0
420,2021-01-04,116.65,116.74,110.78,113.07,1006555.0
421,2021-01-05,112.60,115.10,112.21,114.46,722584.0
422,2021-01-06,111.59,114.50,110.41,110.61,1215915.0
423,2021-01-07,112.18,115.00,111.71,114.38,843085.0
424,2021-01-08,115.70,115.88,113.78,115.37,814048.0
425,2021-01-11,112.85,113.73,112.27,112.69,729223.0
426,2021-01-12,112.29,113.31,110.84,112.53,719255.0
427,2021-01-13,112.43,114.84,112.26,114.36,691943.0
428,2021-01-14,114.28,114.45,112.50,112.63,667261.0
429,2021-01-15,112.43,113.78,110.96,111.08,770162.0
430,2021-01-19,111.59,112.45,110.90,111.69,609678.0
431,2021-01-20,112.35,115.76,112.31,115.35,768749.0
432,2021-01-21,116.94,122.03,116.72,119.58,916987.0
433,2021-01-22,119.08,122.19,117.97,121.50,895298.0
434,2021-01-25,124.96,126.76,119.29,124.87,1197548.0
435,2021-01-26,125.46,126.07,123.51,125.08,750278.0
436,2021-01-27,125.31,126.07,122.68,124.12,948634.0
437,2021-01-28,121.85,124.06,119.43,119.78,1075547.0
438,2021-01-29,118.73,119.47,113.76,115.29,1338918.0
439,2021-02-01,116.80,118.28,114.45,117.20,830256.0
440,2021-02-02,118.49,119.09,117.61,117.94,601372.0
441,2021-02-03,118.40,118.62,116.73,117.02,609812.0
442,2021-02-04,119.13,120.04,117.58,120.03,609339.0
443,2021-02-05,120.15,120.24,118.88,119.67,567334.0
444,2021-02-08,118.98,119.84,118.06,119.80,528773.0
445,2021-02-09,119.62,120.64,118.87,119.01,512146.0
446,2021-02-10,119.41,119.87,117.60,118.46,513834.0
447,2021-02-11,118.93,119.34,117.05,118.24,477511.0
448,2021-02-12,117.49,118.59,116.98,118.45,454725.0
449,2021-02-16,118.53,119.01,116.19,116.54,595741.0
450,2021-02-17,114.82,115.69,113.28,114.49,737589.0
451,2021-02-18,113.08,113.75,111.49,113.50,729283.0
452,2021-02-19,113.92,114.37,112.70,113.64,652742.0
453,2021-02-22,112.04,113.50,109.90,110.25,784466.0
454,2021-02-23,108.29,110.87,103.59,110.13,1228635.0
455,2021-02-24,109.33,109.86,106.95,109.68,862868.0
456,2021-02-25,109.06,110.65,105.47,105.87,1126550.0
457,2021-02-26,107.26,109.24,106.09,106.10,1130315.0
458,2021-03-01,108.30,111.94,107.44,111.82,873562.0
459,2021-03-02,112.35,112.63,109.38,109.48,768389.0
460,2021-03-03,109.17,109.99,106.61,106.80,824525.0
461,2021-03-04,106.51,108.15,103.79,105.11,1307499.0
462,2021-03-05,105.87,106.70,102.87,106.24,1169002.0
